Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S263908595,American Crow,Corvus brachyrhynchos,21557,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,American Goldfinch,Spinus tristis,32617,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,American Redstart,Setophaga ruticilla,34058,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,American Robin,Turdus migratorius,28633,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,Black-and-white Warbler,Mniotilta varia,33962,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,Blue Jay,Cyanocitta cristata,21294,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,Chimney Swift,Chaetura pelagica,3896,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,Common Grackle,Quiscalus quiscula,33853,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,Common Yellowthroat,Geothlypis trichas,34028,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
S263908595,Downy Woodpecker,Dryobates pubescens,11400,X,US-MA,Norfolk,L50749563,Putterham Meadows (historic),42.3107108,-71.1607069,1926-05-25,,Historical,,1,,,24,,,"Brookline Bird Club, field card data",
